Restaurant ;Price;Food;Decor ;Service ;Location
Rainbow Grill;65;19;23;18;West
Torre di Pisa;47;19;21;17;West
San Domenico;65;23;22;22;West
Trionfo;45;20;17;21;West
ViceVersa;46;22;22;20;West
Artusi;44;20;19;20;West
Ciao Europa;40;19;19;18;West
Limoncello;46;19;18;20;West
Puttanesca;32;19;15;17;West
Rino Trattoria;23;20;14;16;West
Sette MoMA;42;18;21;17;West
Trattoria Del Sogno;29;21;18;19;West
Castellano;49;21;18;20;West
Circo Osteria del;53;22;24;21;West
Giovanni;45;22;19;21;West
Palio;63;22;25;22;West
Remi;52;23;23;21;West
Tuscan Square;40;19;20;17;West
Vago Ristorante;45;22;21;23;West
Bello;38;21;17;20;West
Caffe Cielo;38;18;17;18;West
Da Tommaso;42;21;16;20;West
Il Tinello;57;23;19;23;West
Nocello;39;21;19;20;West
Tino's;43;20;18;18;West
Mangia e Bevi;29;17;14;16;West
Patsy's;42;20;16;19;West
Gabriel's;50;22;19;21;West
Pappardella;34;18;16;17;West
Ernie's;31;16;15;16;West
Pomodoro Rosso;31;20;17;19;West
Scaletta;46;21;19;22;West
La Grolla,Ristorante;42;21;15;19;West
Sambuca,Trattoria;31;19;16;18;West
Baci;31;17;15;16;West
Puccini;26;20;16;17;West
Bella Luna;31;18;16;17;West
Métisse;38;22;17;21;West
Gennaro;34;24;10;16;West
